id,пол,город,relation
3345,пол женский,Санкт-Петербург,данные извлечь невозможно
3356,пол мужской,Helsinki,данные извлечь невозможно
3361,пол мужской,город не указан,данные извлечь невозможно
3374,пол женский,Санкт-Петербург,данные извлечь невозможно
3377,пол женский,Санкт-Петербург,данные извлечь невозможно
3388,пол мужской,Екатеринбург,данные извлечь невозможно
3420,пол мужской,Москва,4
3421,пол мужской,Санкт-Петербург,данные извлечь невозможно
3423,пол женский,Санкт-Петербург,данные извлечь невозможно
3431,пол женский,Санкт-Петербург,данные извлечь невозможно
3436,пол женский,Санкт-Петербург,данные извлечь невозможно
3438,пол мужской,Москва,данные извлечь невозможно
3443,пол мужской,Санкт-Петербург,данные извлечь невозможно
3450,пол мужской,Москва,данные извлечь невозможно
3492,пол женский,город не указан,данные извлечь невозможно
3598,пол мужской,Санкт-Петербург,данные извлечь невозможно
3608,пол мужской,Санкт-Петербург,данные извлечь невозможно
3609,пол женский,город не указан,данные извлечь невозможно
3610,пол женский,Санкт-Петербург,данные извлечь невозможно
3613,пол женский,Санкт-Петербург,данные извлечь невозможно
3618,пол женский,Москва,данные извлечь невозможно
3637,пол женский,Санкт-Петербург,5
3644,пол женский,Санкт-Петербург,данные извлечь невозможно
3655,пол женский,Санкт-Петербург,данные извлечь невозможно
3674,пол женский,Санкт-Петербург,данные извлечь невозможно
3690,пол мужской,Санкт-Петербург,данные извлечь невозможно
3705,пол мужской,Санкт-Петербург,данные извлечь невозможно
3707,пол мужской,Санкт-Петербург,данные извлечь невозможно
3736,пол мужской,Санкт-Петербург,данные извлечь невозможно
3756,пол женский,Москва,данные извлечь невозможно
3786,пол женский,Санкт-Петербург,данные извлечь невозможно
3799,пол мужской,Санкт-Петербург,данные извлечь невозможно
3808,пол женский,Санкт-Петербург,данные извлечь невозможно
3819,пол мужской,Москва,данные извлечь невозможно
3840,пол женский,Москва,данные извлечь невозможно
3841,пол женский,Санкт-Петербург,данные извлечь невозможно
3849,пол мужской,Санкт-Петербург,данные извлечь невозможно
3856,пол мужской,Санкт-Петербург,данные извлечь невозможно
3879,пол мужской,Москва,данные извлечь невозможно
3894,пол мужской,Москва,1
3895,пол женский,Санкт-Петербург,данные извлечь невозможно
3918,пол женский,Санкт-Петербург,4
3936,пол мужской,Санкт-Петербург,данные извлечь невозможно
3977,пол женский,Санкт-Петербург,данные извлечь невозможно
4038,пол мужской,Санкт-Петербург,данные извлечь невозможно
4041,пол мужской,Киев,данные извлечь невозможно
4070,пол мужской,Санкт-Петербург,данные извлечь невозможно
4083,пол женский,город не указан,данные извлечь невозможно
4130,пол мужской,город не указан,данные извлечь невозможно
4140,пол женский,город не указан,данные извлечь невозможно
4142,пол мужской,город не указан,данные извлечь невозможно
4150,пол мужской,Санкт-Петербург,данные извлечь невозможно
4160,пол мужской,Санкт-Петербург,данные извлечь невозможно
4174,пол женский,Санкт-Петербург,данные извлечь невозможно
4183,пол мужской,Санкт-Петербург,данные извлечь невозможно
4234,пол мужской,Foster City,данные извлечь невозможно
4236,пол мужской,Донецк,6
4249,пол женский,город не указан,данные извлечь невозможно
4265,пол мужской,Санкт-Петербург,данные извлечь невозможно
4270,пол мужской,Хабаровск,данные извлечь невозможно
4281,пол женский,Санкт-Петербург,данные извлечь невозможно
4282,пол мужской,Москва,данные извлечь невозможно
4318,пол мужской,Санкт-Петербург,данные извлечь невозможно
4378,пол мужской,город не указан,4
4390,пол мужской,Москва,данные извлечь невозможно
4396,пол мужской,Санкт-Петербург,данные извлечь невозможно
4409,пол мужской,Praha,данные извлечь невозможно
4439,пол мужской,Москва,данные извлечь невозможно
4468,пол мужской,Санкт-Петербург,данные извлечь невозможно
4473,пол мужской,Санкт-Петербург,4
4513,пол мужской,Москва,данные извлечь невозможно
4521,пол мужской,Москва,4
4527,пол женский,Воронеж,4
4532,пол мужской,Санкт-Петербург,4
4558,пол женский,Санкт-Петербург,данные извлечь невозможно
4595,пол мужской,Санкт-Петербург,данные извлечь невозможно
4605,пол женский,Санкт-Петербург,данные извлечь невозможно
4620,пол женский,Новосибирск,данные извлечь невозможно
4640,пол мужской,Долгопрудный,4
4689,пол мужской,Москва,данные извлечь невозможно
4694,пол мужской,город не указан,данные извлечь невозможно
4695,пол женский,Санкт-Петербург,данные извлечь невозможно
4714,пол мужской,Новосибирск,данные извлечь невозможно
4731,пол мужской,Санкт-Петербург,данные извлечь невозможно
4732,пол мужской,Санкт-Петербург,данные извлечь невозможно
